ID,Sample,CL,PL,Loai I,Loai II,Loai III,Loai IV,Loai V,Loai VI,Loai VII,Loai,Result
40,TVBA0310,3,3,3,2,2,2,2,3,3,2,0
41,TVBA0407,3,3,1,2,2,0,2,3,2,1,0
42,TVBA0408,4,2,3,3,3,0,3,3,3,1,0
43,TVBA0507,4,3,3,3,2,0,3,4,3,2,1
44,TVBA0602,3,3,1,2,1,0,2,2,2,2,0
45,TVBA0603,4,2,3,3,2,2,3,3,3,2,0
46,TVBA0606,3,2,3,3,3,0,3,3,2,1,0
47,TVBA0701,4,2,3,3,3,1,3,3,3,2,0
48,TVBA0705,4,3,3,3,2,1,3,3,3,2,0
49,TVBA0707,3,3,3,3,2,0,3,3,2,1,0
50,TVBA0805,4,2,3,4,2,2,4,3,3,2,0
51,TVBA0806,3,2,3,3,3,2,3,2,3,2,0
52,TVBA0808,3,3,3,3,2,0,3,3,2,2,0
53,TVBA0809,3,3,3,3,2,0,3,3,2,2,0
54,TVBB0110,4,3,3,3,2,1,3,3,3,1,0
55,TVBB0204,4,3,3,3,2,1,3,3,3,1,0
56,TVBB0303,3,3,3,3,2,0,3,2,2,2,0
57,TVBB0304,3,3,3,3,2,1,3,3,2,2,0
58,TVBB0309,3,3,2,3,2,0,3,3,2,2,0
59,TVBB0310,3,3,3,3,2,0,3,2,2,1,0
60,TVBB0406,3,2,3,3,2,2,3,2,2,2,0
61,TVBB0505,3,3,2,3,2,0,3,3,2,1,1
62,TVBB0510,4,2,3,4,2,1,4,3,2,2,0
63,TVBB0602,3,3,3,2,2,1,2,2,2,1,0
64,TVBB0603,3,3,3,2,2,0,2,2,2,2,0
65,TVBB0604,2,3,2,2,2,1,2,2,1,1,1
66,TVBB0605,3,3,3,2,2,1,2,2,2,1,0
67,TVBB0606,3,3,3,2,3,0,2,3,1,2,0
68,TVBB0607,3,3,3,3,2,1,3,3,2,2,0
69,TVBB0702,4,3,3,3,2,0,3,3,3,1,0
70,TVBB0703,3,3,2,3,2,0,3,3,2,2,0
71,TVBB0704,4,2,3,4,2,1,4,3,3,2,0
72,TVBB0705,3,3,3,3,2,1,3,2,2,2,0
73,TVBB0708,3,3,2,3,2,0,3,3,2,2,0
74,TVBB0709,4,3,3,3,2,0,4,3,2,2,0
75,TVBB0710,3,3,2,3,2,2,3,2,2,2,1
76,TVBB0802,4,2,3,4,3,2,4,4,3,1,0
77,TVBB0804,4,2,3,3,3,2,3,3,3,2,0
78,TVBB0901,3,2,3,3,2,2,3,3,2,2,0
79,TVBB0906,4,3,3,3,2,0,3,3,3,2,0
80,TVBB0907,3,3,2,3,2,2,3,2,3,2,0
81,TVBB0908,4,3,3,3,2,0,3,3,3,2,0
82,TVBB0909,3,3,3,3,2,0,3,3,2,2,0
83,TVBB1004,4,3,3,3,2,0,3,3,3,2,0
84,TVBB1007,3,2,3,3,2,2,3,3,2,2,0
85,TVBB1101,3,3,3,3,2,1,3,3,2,2,0
86,TVBB1102,3,2,3,3,2,2,3,2,2,2,0
87,TVBB1104,4,2,3,3,2,2,3,4,2,2,0
88,TVBB1105,4,3,3,3,2,0,3,4,3,1,0
89,TVBB1107,4,2,3,4,2,2,4,4,2,1,0
90,TVBB1204,4,3,3,3,2,1,3,3,3,2,0
91,TVBB1205,4,2,3,3,3,0,3,3,3,2,0
92,TVBB1206,4,3,3,3,2,0,3,3,3,2,0
93,TVBB1207,3,3,2,3,2,0,3,3,2,2,0
94,TVBB1209,4,2,3,3,2,2,4,3,3,2,0
95,TVBC0103,3,2,3,3,2,2,3,3,2,2,1
96,TVBC0104,4,3,3,3,2,0,3,3,3,2,0
97,TVBC0105,3,2,3,3,3,0,3,3,2,2,0
98,TVBC0203,4,3,3,3,2,1,4,3,2,1,0
99,TVBC0204,4,3,3,3,2,0,3,3,3,1,0
100,TVBC0205,3,2,3,3,2,2,3,3,2,2,0
101,TVBC0304,4,3,3,3,2,1,3,3,3,2,0
102,TVBC0305,3,2,3,3,3,1,3,3,2,2,0
103,TVBC0401,3,3,3,3,2,1,3,3,2,2,0
104,TVBC0402,4,2,3,3,3,0,3,3,3,2,0
105,TVBC0403,3,3,3,3,2,0,3,3,2,1,0
106,TVBC0502,4,3,3,3,2,1,3,3,3,2,0
107,TVBC0503,4,3,3,3,2,1,3,3,3,2,0
108,TVBC0504,4,3,3,3,2,0,3,3,3,2,0
109,TVBC0602,3,3,3,3,2,0,3,3,2,1,0
110,TVBC0603,4,3,3,3,2,1,3,3,3,1,0
111,TVBC0604,4,2,3,3,3,0,3,3,3,2,0
112,TVBC0701,3,3,2,3,3,0,3,3,2,2,1
113,TVBC0703,3,3,3,3,2,0,3,3,2,1,1
114,TVBC0704,3,3,2,3,2,0,3,3,2,2,1
115,TVBC0705,3,2,3,3,2,2,3,3,2,2,0
116,TVBC0801,3,3,2,3,2,0,3,3,2,2,1
117,TVBC0802,3,3,2,3,2,0,3,3,2,1,0
118,TVBC0803,3,3,3,3,2,0,3,2,2,1,0
119,TVBC0902,4,2,3,3,2,2,3,3,3,2,0
120,TVBC0903,4,2,3,3,3,0,3,3,3,2,0
121,TVBC1102,3,2,3,3,3,0,3,3,2,2,0
122,TVBC1103,3,2,3,3,2,2,3,3,2,2,0
123,TVCA0103,4,2,3,3,2,2,3,3,3,2,0
124,TVCA0105,4,2,3,3,3,2,3,3,3,2,0
125,TVCA0201,4,2,3,3,3,1,3,3,3,2,0
126,TVCA0206,3,3,2,3,2,0,3,3,2,1,0
127,TVCA0208,4,2,3,3,2,2,3,3,3,2,0
128,TVCA0304,3,2,3,3,3,1,3,3,2,2,0
129,TVCA0402,3,3,3,3,2,1,3,3,2,2,0
130,TVCA0403,4,3,3,3,2,1,3,3,3,1,0
131,TVCA0404,4,3,3,3,2,0,3,3,3,1,0
